startdate, enddate, title, description, importance, link, icon, image, date_display, low threshold, high threshold, y_position
"1912-07-18 06:24:00","1912-07-18 06:24:00","Obras Sanitarias de la Nación","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1GvftlyEuAHelMdXfed9dfQxnT_dDXM7a"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Obras_Sanitarias_de_la_Naci%C3%B3n.svg/1024px-Obras_Sanitarias_de_la_Naci%C3%B3n.svg.png"",""display_class"":""inline"",""scale"":""5"",""width"":""1024"",""height"":""1024""}","da","1","100","0",""
"1913-01-23 22:51:00","1913-01-23 22:51:00","BGH","<p></p>","50","[{""url"":""https://drive.google.com/open?id=13MbHXXiS8puuYht099DMIvIyX5kgvAIj"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://files.merca20.com/uploads/2014/08/vejo-logo.jpg"",""display_class"":""inline"",""scale"":""25"",""width"":""420"",""height"":""168""}","da","1","100","0",""
"1913-07-01 11:46:00","1913-07-01 11:46:00","FORD","<p></p>","50","[{""url"":""https://drive.google.com/open?id=0B8EJMhrdDQ3mYi1ONTlIMDlGMTA"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Ford_Motor_Company_Logo.svg/2000px-Ford_Motor_Company_Logo.svg.png"",""display_class"":""inline"",""scale"":""5"",""width"":""2000"",""height"":""763""}","da","1","100","0",""
"1914-09-01 09:53:00","1914-09-01 09:53:00","Shell (2)","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1xLgrgtG6l0tKytdc9LSr1qamx77fBWuS"",""label"":""Trabajo""}]","shapes/triangle_gray.png","","da","1","100","0",""
"1914-09-01 16:31:00","1914-09-01 16:31:00","Shell (1)","<p></p>","50","[{""url"":""https://drive.google.com/file/d/1CvHmkyFtR1U6zZELLsGXFQ-WH7wQabKN/view?usp=sharing"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://logosmarcas.com/wp-content/uploads/2018/12/Shell-logo.png"",""display_class"":""inline"",""scale"":""2"",""width"":""3840"",""height"":""2160""}","da","1","100","0",""
"1915-04-29 07:49:00","1915-04-29 07:49:00","Firestone","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1sF1gIvudNCtSpbRDy3f2HSFnt_CHpV0A"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://s3.amazonaws.com/timeglider_user/piaggiomac81524f532e/1563737517.jpg"",""display_class"":""inline"",""scale"":""30"",""width"":""200"",""height"":""200""}","da","1","100","0",""
"1915-07-02 00:21:00","1915-07-02 00:21:00","Goodyear","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1mOJETHG0gvzPYQ5EP-XNxEnVxM4IOgB1"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://corporate.goodyear.com/content/dam/goodyear-corp/images/image-gallery/goodyear_logo_3d.png"",""display_class"":""inline"",""scale"":""7"",""width"":""3000"",""height"":""900""}","da","1","100","0",""
"1915-11-09 04:59:00","1915-11-09 04:59:00","Kodak","<p></p>","50","[{""url"":""https://drive.google.com/open?id=0B8EJMhrdDQ3mdGp3ZWFaTVJSbW8"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://storage.googleapis.com/www-paredro-com/uploads/2018/12/El-logo-de-Kodak-evoluciono%CC%81-junto-con-la-compan%CC%83i%CC%81a.jpg"",""display_class"":""inline"",""scale"":""2"",""width"":""3646"",""height"":""3333""}","da","1","100","0",""
"1918-07-01 20:48:00","1918-07-01 20:48:00","Longvie","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1-RvkWiEikIQSqM6c6lnp4nbtdofmeA8O"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSr6Q_pS3uQg7PiQ8A1v47UdPic1jIbXhc-Z9GAIzy4Y9p2Vk0v&usqp=CAU"",""display_class"":""inline"",""scale"":""30"",""width"":""224"",""height"":""224""}","da","1","100","0",""
"1919-07-01 14:30:00","1919-07-01 14:30:00","FIAT","<p></p>","50","[{""url"":""https://drive.google.com/open?id=0B8EJMhrdDQ3mSzIzTlZMOVNoTVE"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://vignette.wikia.nocookie.net/motorpedia/images/6/60/Logo_Fiat.jpg/revision/latest?cb=20111103032815&path-prefix=es"",""display_class"":""inline"",""scale"":""20"",""width"":""450"",""height"":""450""}","da","1","100","0",""
